treat,buttonpresses,bpressestest,age,gender,education,conscientious1,conscientious2_r,conscientious3,conscientious4,agreeable1,agreeable2_r,neurotic1,neurotic2_r,open1_r,open2,extraversion1_r,extraversion2,altruism1,altruism2,risk1,posreciprocity1,posreciprocity2,socialcomp1,socialcomp2_r,socialcomp3,competition1,competition2,competition3,competition4,risks5,risks6,risks8,risks9,risks12,risks13,risks15,risks16,risks20,risks21,risks23,risks24,risks27,risks28,risks30,risks31,loss1,loss_change,treat_1,treat_2,treat_3,treat_4,treat_5,treat_6,treat_7
6,2427,37,25,1,4,3,2,5,5,5,2,4,4,5,5,4,5,600,9,10,2,9,5,4,4,4,3,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
4,2008,83,36,1,4,5,1,5,5,5,2,3,5,1,5,1,5,0,4,1,1,7,4,1,5,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,0,0,0
5,1042,48,25,1,4,5,3,4,5,4,4,4,4,5,5,5,4,600,9,9,2,8,4,3,3,4,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
2,2118,30,32,1,4,5,1,5,5,5,1,5,1,1,5,1,5,500,10,3,4,10,2,5,1,1,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
1,2667,74,30,0,3,3,2,1,1,1,2,3,3,1,1,1,1,0,2,3,0,4,1,2,2,4,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0
7,1304,36,33,0,3,5,3,4,4,4,4,4,4,5,3,3,3,1000,9,7,3,7,3,4,5,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1
3,600,7,25,1,5,4,2,4,5,4,1,4,2,5,4,3,5,200,10,9,3,8,4,5,3,5,4,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
1,1711,59,28,0,4,4,1,5,5,4,1,4,1,1,5,1,4,600,8,7,4,6,5,3,4,4,4,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
3,135,2,37,1,4,4,2,4,4,4,2,2,4,4,4,4,4,500,9,9,1,10,5,2,2,4,2,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
5,1337,37,65,1,5,4,1,4,4,4,1,4,1,4,4,1,4,1600,10,10,4,9,5,4,2,2,4,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0
4,2189,23,31,1,4,3,3,5,4,5,4,4,2,4,3,4,4,1000,9,9,4,10,4,4,3,4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0
7,1055,22,25,1,5,4,1,4,5,4,1,4,1,4,4,2,4,1600,10,10,4,9,5,4,2,2,4,4,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1
2,2835,77,24,1,5,5,5,3,5,3,4,5,3,4,4,4,5,1500,8,10,6,9,4,3,4,5,3,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
6,1002,26,25,1,4,4,5,3,5,4,4,3,5,4,4,3,4,800,9,10,2,9,4,3,3,4,5,5,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
7,1966,27,32,0,1,4,1,5,5,5,1,4,2,2,5,2,5,1500,9,7,5,8,5,4,5,2,5,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2,939,20,25,1,4,5,4,3,3,3,3,3,3,4,3,5,5,800,10,9,6,8,5,4,4,4,5,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
1,1944,0,24,1,5,5,3,4,4,5,4,4,4,4,3,4,3,1000,9,8,2,9,4,3,4,5,4,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
3,2272,61,25,1,5,5,3,3,3,3,3,4,4,4,4,4,4,1000,7,8,4,7,5,4,3,3,4,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
